"dummy","patient"
"1000000135","1000000001"
"1000000136","1000000002"
"1000000137","1000000003"
"1000000138","1000000004"
"1000000139","1000000005"
"1000000140","1000000006"
"1000000141","1000000007"
"1000000142","1000000008"
"1000000143","1000000009"
"1000000144","1000000010"
"1000000145","1000000011"
"1000000146","1000000012"
"1000000147","1000000013"
"1000000148","1000000014"
"1000000149","1000000015"
"1000000150","1000000016"
"1000000151","1000000017"
"1000000152","1000000018"
"1000000153","1000000019"
"1000000154","1000000020"
"1000000155","1000000021"
"1000000156","1000000022"
"1000000157","1000000023"
"1000000158","1000000024"
"1000000159","1000000025"
"1000000160","1000000026"
"1000000161","1000000027"
"1000000162","1000000028"
"1000000163","1000000029"
"1000000164","1000000030"
"1000000165","1000000031"
"1000000166","1000000032"
"1000000167","1000000033"
"1000000168","1000000034"
"1000000169","1000000035"
"1000000170","1000000036"
"1000000171","1000000037"
"1000000172","1000000038"
"1000000173","1000000039"
"1000000174","1000000040"
"1000000175","1000000041"
"1000000176","1000000042"
"1000000177","1000000043"
"1000000178","1000000044"
"1000000179","1000000045"
"1000000180","1000000046"
"1000000181","1000000047"
"1000000182","1000000048"
"1000000183","1000000049"
"1000000184","1000000050"
"1000000185","1000000051"
"1000000186","1000000052"
"1000000187","1000000053"
"1000000188","1000000054"
"1000000189","1000000055"
"1000000190","1000000056"
"1000000191","1000000057"
"1000000192","1000000058"
"1000000193","1000000059"
"1000000194","1000000060"
"1000000195","1000000061"
"1000000196","1000000062"
"1000000197","1000000063"
"1000000198","1000000064"
"1000000199","1000000065"
"1000000200","1000000066"
"1000000201","1000000067"
"1000000202","1000000068"
"1000000203","1000000069"
"1000000204","1000000070"
"1000000205","1000000071"
"1000000206","1000000072"
"1000000207","1000000073"
"1000000208","1000000074"
"1000000209","1000000075"
"1000000210","1000000076"
"1000000211","1000000077"
"1000000212","1000000078"
"1000000213","1000000079"
"1000000214","1000000080"
"1000000215","1000000081"
"1000000216","1000000082"
"1000000217","1000000083"
"1000000218","1000000084"
"1000000219","1000000085"
"1000000220","1000000086"
"1000000221","1000000087"
"1000000222","1000000088"
"1000000223","1000000089"
"1000000224","1000000090"
"1000000225","1000000091"
"1000000226","1000000092"
"1000000227","1000000093"
"1000000228","1000000094"
"1000000229","1000000095"
"1000000230","1000000096"
"1000000231","1000000097"
"1000000232","1000000098"
"1000000233","1000000099"
"1000000234","1000000100"
"1000000235","1000000101"
"1000000236","1000000102"
"1000000237","1000000103"
"1000000238","1000000104"
"1000000239","1000000105"
"1000000240","1000000106"
"1000000241","1000000107"
"1000000242","1000000108"
"1000000243","1000000109"
"1000000244","1000000110"
"1000000245","1000000111"
"1000000246","1000000112"
"1000000247","1000000113"
