"modifier_path","modifier_cd","name_char","modifier_blob","update_date","download_date","import_date","sourcesystem_cd","upload_id"
"\Admit Diagnosis\","0","Admit Diagnosis","","2011-04-14 00:55:00","\N","2011-04-14 00:55:00","DEMO","\N"
"\Lung\TNM\Metastisis\","TNM:METASTISIS","TNM Staging, Distant Metastisis","","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Metastisis\M0\","TNM:M0","TNM Staging, No distant metastasis","","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Metastisis\M1\","TNM:M1","TNM Staging, Distant metastasis is present","","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Metastisis\M1\M1a\","TNM:M1a","TNM Staging, Metastasized to other lung; Malignant pleural effusion; or Malignant pericardial effusion","","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Metastisis\M1\M1b\","TNM:M1b","TNM Staging, Metastasized to distant lymph nodes and / organs","","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Nodes\","TNM:NODES","TNM Staging, Regional lymph nodes","","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Nodes\N0\","TNM:N0","TNM Staging, No regional lymph node involvement","","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Nodes\N1\","TNM:N1","TNM Staging, Involvement of regional lymph nodes / extent of spread","Involves lymph nodes within the lung and/or the hilar lymph nodes. Affected lymph nodes are on the same side as the primary tumor.","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Nodes\N2\","TNM:N2","TNM Staging, Involvement of regional lymph nodes / extent of spread","Involves lymph nodes around the carina or in the mediastinum. Affected lymph nodes are on the same side as the primary tumor.","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
"\Lung\TNM\Nodes\N3\","TNM:N3","TNM Staging, Involvement of regional lymph nodes / extent of spread","Involves lymph nodes near the collarbone on either side, and/or spread to hilar or mediastinal lymph nodes on the side opposite the primary tumor","2011-04-15 00:10:00","\N","2011-04-15 00:10:00","DEMO","\N"
